refcode,n_metals,is_polymeric,has_disorder,old_record_generated,scope_class
JONSEO,9,True,True,True,molecular_multinuclear_supported
ZONVUV,4,False,False,True,molecular_multinuclear_supported
PACKUZ,9,False,True,True,molecular_multinuclear_supported
IJIROK,8,True,True,True,molecular_multinuclear_supported
KOCBIN,8,False,False,False,molecular_multinuclear_supported
SAVLEH,4,True,False,True,molecular_multinuclear_supported
MALPOI,12,True,False,False,molecular_multinuclear_supported
WONBEH,7,False,True,False,molecular_multinuclear_supported
WAKMEC,4,False,True,True,molecular_multinuclear_supported
NITJAF,5,False,True,True,molecular_multinuclear_supported
KUYGAP,2,False,True,True,molecular_multinuclear_supported
VUWTUG,8,True,False,True,molecular_multinuclear_supported
BUJZOX,4,False,True,True,molecular_multinuclear_supported
CAZNOH,2,False,True,True,molecular_multinuclear_supported
WAGVOQ,2,False,False,True,molecular_multinuclear_supported
LELTOO,2,True,False,True,molecular_multinuclear_supported
BIYLOM,6,False,False,True,molecular_multinuclear_supported
KIXPEM,2,False,False,True,molecular_multinuclear_supported
COQGEW,12,False,True,True,molecular_multinuclear_supported
COBKIQ,2,False,False,True,molecular_multinuclear_supported
OWIHIM,2,False,False,True,molecular_multinuclear_supported
BUTVER,2,False,False,True,molecular_multinuclear_supported
KAPSIE,3,False,False,True,molecular_multinuclear_supported
ISIPOP,6,True,True,True,molecular_multinuclear_supported
NUMLUC,4,False,True,False,molecular_multinuclear_supported
ERUZOI,2,True,False,True,molecular_multinuclear_supported
CISWUX,2,True,True,True,molecular_multinuclear_supported
MERJUR,2,False,False,True,molecular_multinuclear_supported
JUVWAB02,9,True,False,True,molecular_multinuclear_supported
CAGSEJ,3,False,False,True,molecular_multinuclear_supported
AGUZOS,2,False,False,True,molecular_multinuclear_supported
KENPIC,2,False,True,False,molecular_multinuclear_supported
CUCNOF,4,False,False,True,molecular_multinuclear_supported
BUHFER,8,True,False,False,molecular_multinuclear_supported
HOXHOS,16,True,True,False,polymeric_or_extended_future_scope
HAVNEA,2,False,True,True,molecular_multinuclear_supported
MELSAA,8,True,True,True,molecular_multinuclear_supported
VOSKOH,2,False,False,True,molecular_multinuclear_supported
SELYIS,4,False,False,True,molecular_multinuclear_supported
PILZAN01,10,True,False,True,molecular_multinuclear_supported
MEBKIO,2,False,False,True,molecular_multinuclear_supported
WABZAB,2,False,True,True,molecular_multinuclear_supported
MATFIY,26,True,False,False,polymeric_or_extended_future_scope
YIZWOV,2,False,False,True,molecular_multinuclear_supported
SONSAP,2,False,False,True,molecular_multinuclear_supported
WUCFOR,10,False,False,False,molecular_multinuclear_supported
AQOPOM,6,True,False,True,molecular_multinuclear_supported
PAKYUV,2,False,False,True,molecular_multinuclear_supported
XIQWAY,2,False,True,True,molecular_multinuclear_supported
YEVRID01,8,True,True,False,molecular_multinuclear_supported
FOWKEI,3,True,False,True,molecular_multinuclear_supported
RUVHUM,2,False,False,False,molecular_multinuclear_supported
IFACOH,4,True,False,True,molecular_multinuclear_supported
UCOXOZ,14,True,False,False,polymeric_or_extended_future_scope
XAVYOM,28,False,True,False,polymeric_or_extended_future_scope
EVOJII,2,False,True,True,molecular_multinuclear_supported
WEKMEG,7,True,True,True,molecular_multinuclear_supported
ORUVEF,5,True,True,True,molecular_multinuclear_supported
BAZMAU,2,False,True,True,molecular_multinuclear_supported
LEVMEE,2,False,False,True,molecular_multinuclear_supported
ENIHOB01,8,True,True,True,molecular_multinuclear_supported
UDEPUP,2,False,False,True,molecular_multinuclear_supported
GATGIR,4,False,False,True,molecular_multinuclear_supported
MICTAW,3,True,False,True,molecular_multinuclear_supported
XALGAT,4,True,False,True,molecular_multinuclear_supported
XUFJAL,4,False,True,True,molecular_multinuclear_supported
WASQIR,10,True,True,True,molecular_multinuclear_supported
