refcode,metal,S_TBPY,S_SPY,delta,in_ridge
ATIJIW01,Ru,5.9,6.58,0.68,True
ATIMIB,Cu,7.41,10.64,3.23,False
ATIVOP,Ir,5.45,6.07,0.62,True
ATIVUV,Ir,5.62,5.89,0.27,True
ATIWEG,Ir,5.21,6.02,0.81,True
ATIZUZ,Cu,1.09,5.23,4.14,False
ATOBUI,Cu,0.67,6.56,5.89,False
ATOCER,Cu,6.47,8.72,2.25,False
ATOCUI,Ni,4.67,5.71,1.04,False
ATOICU,Cu,0.88,4.26,3.38,False
ATOQUW,Ir,0.42,0.66,0.24,True
ATOREH,Ir,0.69,6.28,5.59,False
ATOROS,V,0.94,1.17,0.23,True
ATOSAE,Ir,0.62,6.09,5.47,False
ATSZNI10,Ni,0.27,5.28,5.01,False
ATUSEN,Cu,0.34,5.31,4.97,False
ATUTOZ,Rh,0.31,1.0,0.69,True
ATUWOE,Zn,0.8,4.98,4.18,False
ATUZEV,Zn,5.45,7.29,1.84,False
AUBQNL02,Au,0.84,1.44,0.6,True
AVALAL,Mn,0.26,1.08,0.82,True
AVALIT,Cu,0.42,3.69,3.27,False
AVECOU,Zr,0.48,1.16,0.68,True
AVEDIO,Ru,6.6,7.05,0.45,True
AVEDUB,Ti,1.07,3.6,2.53,False
AVEFAJ,Ti,0.67,1.04,0.37,True
AVEFEM,Ru,13.03,17.17,4.14,False
AVEGAJ,Ru,6.02,6.45,0.43,True
AVEZAD,Ru,0.35,1.68,1.33,False
AVEZOR,Ru,6.11,6.37,0.26,True
AVIXOU,Cu,3.51,6.51,3.0,False
AVOBUI,Zn,5.15,6.21,1.06,False
AVOGIC,Fe,0.22,1.43,1.21,False
AVOQOR,Cu,4.45,6.06,1.61,False
AVOWEO,Cu,0.25,5.82,5.57,False
AVUBOI,Zr,3.93,4.56,0.63,True
AVUHEH,V,0.04,1.5,1.46,False
AVUPEN,Cu,0.78,4.49,3.71,False
AVUVUI,Co,0.1,1.04,0.94,True
AWALOC,Ru,3.01,4.46,1.45,False
AWALUI,Ru,11.09,12.43,1.34,False
AWANOE,Mo,0.43,6.48,6.05,False
AWAPAS,Mo,0.45,1.11,0.66,True
AWAPEW,Mo,9.13,6.73,2.4,False
AWESAY,Co,0.65,5.92,5.27,False
AWETUU,Fe,0.37,0.95,0.58,True
AWEVUT,Cu,10.3,11.15,0.85,True
AWEYUZ,Cu,4.81,6.27,1.46,False
AWEZEH,Y,0.45,5.65,5.2,False
AWIGAO,Cu,0.72,4.07,3.35,False
AWIJOF,Zn,0.63,5.83,5.2,False
AWIYUD,Cu,4.84,5.72,0.88,True
AWOFAT,Zn,0.26,6.32,6.06,False
AWOFIB,Zn,0.53,1.69,1.16,False
AWOFUO,Co,0.3,4.83,4.53,False
AWOLOO,Mn,0.21,0.76,0.55,True
AWOXAN,Fe,4.38,6.0,1.62,False
AWUCUQ,Zn,0.21,1.27,1.06,False
AWUKUB,V,0.08,0.95,0.87,True
AWULAI,V,0.03,5.48,5.45,False
AWUMUD,Zn,0.62,0.99,0.37,True
AWUNAK,Cu,8.74,8.33,0.41,True
AXAHUC,Cu,0.29,5.73,5.44,False
AXARUP,Cu,5.13,6.0,0.87,True
AXAVAZ,Zn,0.1,5.27,5.17,False
AXEYOR,Rh,6.01,6.62,0.61,True
AXIHUK,Cu,4.2,6.16,1.96,False
AXIPEC,Cu,5.22,6.51,1.29,False
AXIQED,Cu,4.81,5.51,0.7,True
AXIRAB,Cu,5.14,6.68,1.54,False
AXISEF,Mn,0.99,1.27,0.28,True
AXIWIP,Ti,1.17,1.63,0.46,True
AXOJAY,Hg,5.73,6.3,0.57,True
AXOKAZ,Zn,0.8,1.37,0.57,True
AXOKED,Zn,0.74,6.56,5.82,False
AXOSOV,Ru,1.45,4.13,2.68,False
AXOSOY,Zn,4.91,6.28,1.37,False
AXOTEO,Fe,5.04,6.65,1.61,False
AXUDAA,Cd,1.09,4.82,3.73,False
AXUDEE,Cd,1.57,5.06,3.49,False
AXUFOQ,Hg,1.66,5.07,3.41,False
AXUQER,Zn,0.51,1.19,0.68,True
AXUYID,W,4.45,6.21,1.76,False
AYADEL,Re,0.85,5.96,5.11,False
AYEFUH,W,6.95,7.46,0.51,True
AYEHIY,Fe,5.2,6.0,0.8,True
AYEHUK,Fe,0.71,5.57,4.86,False
AYEJAS,Fe,5.32,5.96,0.64,True
AYENAT,Pt,1.64,6.18,4.54,False
AYESUU,Cu,4.96,5.86,0.9,True
AYIFOF,Cu,15.78,17.18,1.4,False
AYISAC,Rh,5.82,11.84,6.02,False
AYISEH,Zn,0.48,4.63,4.15,False
AYISEH01,Zn,0.48,4.6,4.12,False
AYIYUF,Fe,0.37,0.99,0.62,True
AYOCUN,Zn,4.17,7.38,3.21,False
AYOFOJ,Cu,3.74,4.63,0.89,True
AYOFUP,Cu,5.03,5.14,0.11,True
AYOGAW,Cu,5.52,6.44,0.92,True
AYOGEA,Cu,4.83,6.38,1.55,False
AYOLOQ,Cu,0.29,5.48,5.19,False
AYOLOQ01,Cu,0.3,5.93,5.63,False
AYOSOY,Fe,12.11,18.26,6.15,False
AYOYES,Ni,4.54,5.6,1.06,False
AYUBEB,Y,0.09,1.14,1.05,False
AYUXOJ,Cu,1.18,4.54,3.36,False
AYUYIE,Ru,7.21,9.44,2.23,False
AZADAJ,Cu,5.62,11.12,5.5,False
AZAQEX,Ir,5.79,6.15,0.36,True
AZAQIB,Ir,6.06,6.2,0.14,True
AZAQOJ,Zn,0.24,0.69,0.45,True
AZEFET,Cu,0.27,4.06,3.79,False
AZEMUQ,Ti,0.24,5.32,5.08,False
AZIJOI,Zn,0.3,0.71,0.41,True
AZIKEZ,Zn,13.74,8.01,5.73,False
AZIKOJ,Zn,0.87,4.94,4.07,False
AZIKUP,Zn,3.79,4.2,0.41,True
AZIMOM,V,4.71,5.91,1.2,False
AZIPAB,Cu,1.06,1.74,0.68,True
AZNIMO,Mo,5.64,5.75,0.11,True
AZOCNI11,Ni,0.05,1.11,1.06,False
AZOCNI12,Ni,0.02,1.05,1.03,False
AZOCNI13,Ni,0.03,3.86,3.83,False
AZOCNI14,Ni,0.04,3.53,3.49,False
AZOCNI15,Ni,0.06,5.64,5.58,False
AZOCNI16,Ni,0.06,1.07,1.01,False
AZOHIJ,Zn,7.07,10.84,3.77,False
AZOXIZ,Cu,4.93,6.05,1.12,False
AZUBOP,Cu,5.08,6.61,1.53,False
BABCOX,Mo,2.26,2.95,0.69,True
BABCUD,Mo,1.02,7.67,6.65,False
BABDAK,Mo,5.05,5.99,0.94,True
