L3_hash,n_records,n_refcodes,unique_L0,unique_L1,unique_L2,CN,metal,ligand_signature,geometry_span,max_pairwise_CShM_distance,crosses_shape_boundary,representative_refcodes
561113804259,3,3,3,3,1,6,Ru,I;I;[H]C([H])([H])C(N#C)(C([H])([H])[H])C([H])([H])[H];[H]C([H])([H])C(N#C)(C([H,3.47,3.4701,False,DUDVEG;XAZZAC;ZAGTAF
821913905691,2,2,2,2,1,6,Mo,N#N;[H]C1C([H])C([H])C(N#C)C([H])C1[H];[H]C1C([H])C([H])C(P(C2C([H])C([H])C([H]),3.47,5.7063,False,PUMYOL;PUMYOL01
892903490089,2,2,2,2,1,6,Cu,[H]C1C(C(=O)O)NC(C(=O)O)C([H])C1[H];[H]O[H];[H]O[H];[H]O[H],3.47,4.2651,False,PYRCCU01;PYRCCU03
694966562069,5,5,5,4,2,6,Co,[H]OC([H])([H])C1NC(C([H])([H])O[H])C([H])C([H])C1[H];[H]OC([H])([H])C1NC(C([H]),3.46,3.6379,True,ABIYUG;ABIZER;ABOBEZ;GEBFIF;YOHLIQ
281664690069,25,25,25,4,1,6,Cu,[H]OC(O[H])(C1NC([H])C([H])C([H])C1[H])C1NC([H])C([H])C([H])C1[H];[H]OC(O[H])(C1,3.46,4.9187,True,AJUJUK;AJUJUK01;BPYKTB11;CURXOE;DUDNOG;DUDNOG02
704506306512,3,3,3,3,1,6,Zn,[H]C1NC(C2NC(C3NC([H])C([H])C([H])C3[H])C([H])C([H])C2[H])C([H])C([H])C1[H];[H]C,3.46,3.714,False,ESORAG;EYIMOO;SAVPUB
776744469028,4,4,4,4,1,6,Cd,[H]C1NC2C3NC([H])C([H])C([H])C3C([H])C([H])C2C([H])C1[H];[H]C1NC2C3NC([H])C([H]),3.46,3.7792,True,PIKDAP;TAKXEJ;YAFRUU;YOLDEJ
34092757944,2,2,2,2,1,4,Cu,O=[N+]([O-])O;[H]C(=NC([H])([H])C1NC([H])C([H])C([H])C1[H])C1C([H])C(Cl)C([H])C(,3.45,3.5285,False,DUPTOY;DUPTOY01
276352765388,2,2,2,2,2,5,Mo,C#O;[H]C([H])([H])C([H])([H])P(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])P,3.45,3.873,False,ESOTAH;ESOTEL
362400974893,2,2,2,2,1,5,Cd,Br;Br;[H]OC([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])N=C(C1NC([H])C([H])C,3.45,3.4504,False,PEMGOG;PEMGOG01
