refcode,metal,oxidation_state,d_count,metal_row,donor_set,S_Oh,S_TPr,JT_proxy,L0_hash,L1_hash,L3_hash
QARTAE,Ru,+2,d6,5,"Cl,N,S",6.0300,7.4900,6.0300,151478394586,562099257397,744058340522
QARTEI,Ru,+2,d6,5,"Cl,N,S",6.5000,7.9100,6.5000,213004994312,170228314347,868284722142
QARTIM,Ru,+2,d6,5,"Cl,N,S",4.0400,5.1500,4.0400,343911967797,537409100675,557061996060
QARTUY,Ru,+2,d6,5,"Cl,N,S",3.9200,8.0900,3.9200,174677314831,168382849689,666248594944
QARVAH,Ni,+2,d8,4,"N,S",3.9700,4.1600,3.9700,33853928385,251895770653,483639619523
QARXUC,Rh,+3,d6,5,"Cl,O,P",3.5600,6.0200,3.5600,95322933748,849485989236,438017840690
QASDIX,Mo,,,5,O,3.9700,5.8700,3.9700,885482308156,885915819386,935029966143
QASDOD,Mo,,,5,O,3.9500,4.3900,3.9500,145371349958,209955907810,115084416636
QASHEZ,Ir,,,6,"C,N,O",4.7400,5.1200,4.7400,831876915742,243695922791,591102184520
QASKAX,Pt,+4,d6,6,"I,N,O",6.5700,6.5900,6.5700,578081958338,471636165806,979723929976
QASLUR,Ru,+2,d6,5,"Cl,N,O",3.8400,8.0600,3.8400,843184071636,716713560872,978727302083
QASNUU,Ru,+2,d6,5,"Cl,N",0.1600,5.8600,0.1600,145705341249,489206097585,95536642029
QASVEO,Zn,+2,d10,4,O,0.0200,5.7300,0.0200,716300138855,126205889343,309233997274
QASVEO01,Zn,+2,d10,4,O,0.0200,5.4100,0.0200,53265699419,126205889343,309233997274
QASVIS,Zn,+2,d10,4,"N,O",0.0800,5.8600,0.0800,911168464598,879668386810,528073768817
QASVUD,Re,,,6,"C,N",0.2300,5.7800,0.2300,40384913189,431346345795,140603175720
QASWEM,Cu,+2,d9,4,O,0.7800,6.2600,0.7800,941263317049,179188136904,375222557922
QASWIS,Re,,,6,"C,N",6.3700,13.1500,6.3700,238524670551,904645489392,535205930726
QASWOY,Re,,,6,"C,N",3.3300,8.3200,3.3300,436144291730,427864711960,840189821993
QATBEV,Mn,,,4,"C,P,S",5.7600,5.9600,5.7600,407167752308,258152077920,189259084110
QATFOK,Ru,+2,d6,5,"C,Cl,N",4.4900,4.6800,4.4900,503435416260,444197864472,835430365365
QATFUO,Ti,,,4,,4.5500,6.2900,4.5500,696218653818,388862186246,864825336193
QATGID,Ti,,,4,,7.4500,8.2600,7.4500,529116726653,929157983456,675820570188
QATHAX,Mn,,,4,"C,P,S",6.3300,7.6200,6.3300,870855039343,827354089712,756981203701
QATMAB,Re,,,6,"Cl,N,P",3.8100,8.8800,3.8100,565604531182,847025451591,290664459254
QATMIJ,Re,,,6,"Cl,P",6.5400,13.3700,6.5400,544881662988,231887529534,631094662242
QATNOQ,Ru,+2,d6,5,"N,O",5.6700,6.2800,5.6700,675508699000,937791273557,757775224926
QATRAE,Fe,+2,d6,4,"C,N",0.1100,6.1600,0.1100,212167130790,103584195005,828011520912
QATTAK,Mn,,,4,"Cl,O",0.2100,5.3600,0.2100,489594061636,971357487056,943320581191
QATXUE,V,,,4,Se,5.0400,13.2600,5.0400,378776827892,575376089119,682748537373
QATYAL,Cr,,,4,Se,0.3300,4.9700,0.3300,589509200722,196696820044,719018773538
QAVCAR,Ni,+2,d8,4,"N,O",3.2700,6.7900,3.2700,369382806398,238562853756,275529731166
QAVCAS,Pd,+4,d6,5,"C,N,O",5.4000,7.2900,5.4000,734552715279,528828774847,334577539191
QAVDIA,Cu,+2,d9,4,"N,O",0.2400,5.9200,0.2400,907313110151,282724608711,724077318978
QAVGUS,Ru,+2,d6,5,N,0.2700,5.3300,0.2700,406893852040,688633295713,790313088941
QAVHAZ,Ru,+2,d6,5,N,0.2900,4.9700,0.2900,715236551637,769738466896,355255588118
