subtask,method,pool_id,n_candidates,n_positives,n_negatives,top1_correct,top1_score,top5_has_correct
B_same_metal,coordrep_full,MOF_ACEMAA,23,2,9,True,0.7063,True
B_same_metal,coordrep_full,MOF_ACEMEE,23,2,9,True,0.7375,True
B_same_metal,coordrep_full,MOF_ACEMII,148,26,60,True,0.7042,True
B_same_metal,coordrep_full,MOF_ACEPAD,62,6,42,True,0.84,True
B_same_metal,coordrep_full,MOF_ACEPIH,148,26,60,True,1.0,True
B_same_metal,coordrep_full,MOF_ACESAG,17,5,7,True,1.0,True
B_same_metal,coordrep_full,MOF_ACETIP,25,7,5,True,1.0,True
B_same_metal,coordrep_full,MOF_ACETOV,25,7,5,True,1.0,True
B_same_metal,coordrep_full,MOF_ACEVIR,25,7,5,True,1.0,True
B_same_metal,coordrep_full,MOF_ACEVOX,25,8,5,True,0.9,True
B_same_metal,coordrep_full,MOF_ACEWAJ,45,2,20,True,0.5366,True
B_same_metal,coordrep_full,MOF_ACEWEN,45,1,20,False,0.4783,False
B_same_metal,coordrep_full,MOF_ACEWIR,45,2,20,True,0.5366,True
B_same_metal,coordrep_full,MOF_ACICOF,45,20,12,True,0.6208,True
B_same_metal,coordrep_full,MOF_ACIDAT,148,25,50,True,0.625,True
B_same_metal,coordrep_full,MOF_ACIJAX,148,49,49,True,1.0,True
B_same_metal,coordrep_full,MOF_ACIJEB,62,15,24,True,0.6208,True
B_same_metal,coordrep_full,MOF_ACIQIN,32,16,7,True,0.85,True
B_same_metal,coordrep_full,MOF_ACIRIP,17,4,9,True,0.6,True
B_same_metal,coordrep_full,MOF_ACIROV,25,8,5,True,0.6312,True
B_same_metal,coordrep_full,MOF_ACISAK,17,3,8,True,1.0,True
B_same_metal,coordrep_full,MOF_ACISEM,148,28,53,True,1.0,True
B_same_metal,coordrep_full,MOF_ACISIQ,148,7,60,True,0.6312,True
B_same_metal,coordrep_full,MOF_ACISOW,45,9,14,True,0.8333,True
B_same_metal,coordrep_full,MOF_ACITAK,148,3,59,True,0.85,True
B_same_metal,coordrep_full,MOF_ACITOV,30,6,11,True,1.0,True
B_same_metal,coordrep_full,MOF_ACIYER,37,6,17,True,0.8667,True
B_same_metal,coordrep_full,MOF_ACIYER01,37,6,17,True,0.8667,True
B_same_metal,coordrep_full,MOF_ACIYER02,37,6,17,True,0.8667,True
B_same_metal,coordrep_full,MOF_ACIYER07,37,6,17,True,0.8667,True
B_same_metal,coordrep_full,MOF_ACIYIV,37,6,17,True,0.8667,True
B_same_metal,coordrep_full,MOF_ACMCRU,25,7,6,True,0.65,True
B_same_metal,coordrep_full,MOF_ACMCRU01,25,7,6,True,0.65,True
B_same_metal,coordrep_full,MOF_ACMONA,22,4,9,True,1.0,True
B_same_metal,coordrep_full,MOF_ACNBPC,62,12,26,True,0.725,True
B_same_metal,coordrep_full,MOF_ACOHUW,32,2,7,False,0.6087,False
B_same_metal,coordrep_full,MOF_ACOHUW01,32,2,7,False,0.6087,False
B_same_metal,coordrep_full,MOF_ACOHUW02,32,2,7,False,0.6087,False
B_same_metal,coordrep_full,MOF_ACOHUW03,32,2,7,False,0.6087,False
B_same_metal,coordrep_full,MOF_ACOLAG,75,4,29,False,0.6179,True
