refcode,metal,haptic_class,eta_values_detected,site_types,n_sites,contains_eta2,contains_eta3,contains_eta4,contains_eta5,contains_eta6,contains_mixed_eta_eta1,CNsite,eta_sum,parse_valid,roundtrip_valid,atom_order_invariant,site_atom_order_invariant,ligand_order_invariant,site_detection_valid,eta_assignment_valid,centroid_serialization_valid,L0_present,L1_present,L2_present,L3_present,record_generated,failure_stage,failure_reason,manual_audit_priority
NOCQIF,Fe,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FIBPEN,Ir,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
KUMFAA,Rh,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
WISTIB,Ru,eta1,"1,1,1,1,1,1",atom,11,False,False,False,False,False,False,11,11,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
PHETHB,Rh,eta1,"1,1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
MITQUB01,Mo,eta1,"1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
SEHBAJ,Co,eta1,"1,1",atom,5,False,False,False,False,False,False,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
XOCMAF,Ni,eta1,"1,1,1,1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
VAHBUF,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
JARDOV,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
JEVKAW01,Mo,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FOQREI,Ru,eta1,"1,1,1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
GALYIB,Rh,eta1,"1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FEVHOF,Re,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
QOTPUM,Ti,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
YAZJOA,Rh,eta1,"1,1,1,1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
HIFKAI,Ir,eta1,"1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
LEJFEM,Zr,eta1,"1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
MIFHAN,Rh,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FESQON,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
CANHAA,W,eta1,"1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
WOTKOJ,Hf,eta1,"1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
OJEZIP,Fe,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
SUTBIU,Ru,eta1,"1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
CUHCAL,Rh,eta1,"1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
VOTZAI,Co,eta1,"1,1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
SEFBUC,Ru,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
SACFAH,Rh,eta1,"1,1",atom,5,False,False,False,False,False,False,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
INEPIB,Zr,eta1,"1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
HIGREU,Mn,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
DAFTUZ,Rh,eta1,"1,1,1",atom,5,False,False,False,False,False,False,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
TEQBAU,Ru,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
YASZOK,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ROMSIZ,Y,eta1,"1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
PABZAV,Ru,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
DUGCUE,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
EJANAE,Cr,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
KEQQAA,Ti,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
GEHDUW,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
QIHGAP,Os,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ULOTUL,Rh,eta1,"1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
