complex_id,metal,CN,metal_row,ranker_base_top1,ranker_base_mrr,ranker_base_win_rate,minphys_only_top1,minphys_only_mrr,minphys_only_win_rate,ranker_minphys_top1,ranker_minphys_mrr,ranker_minphys_win_rate,shuffled_minphys_top1,shuffled_minphys_mrr,shuffled_minphys_win_rate
tmqm_2556,Cr,9,3d,0,0.1111,0.4286,0,0.0769,0.1429,0,0.1111,0.4286,0,0.125,0.5
tmqm_1036,Zr,6,4d,0,0.0833,0.3529,0,0.0667,0.1765,0,0.0714,0.2353,0,0.1111,0.5294
tmqm_32,Y,7,4d,0,0.0909,0.3333,0,0.0769,0.2,0,0.1111,0.4667,0,0.125,0.5333
tmqm_7186,Fe,5,3d,0,0.1667,0.6429,0,0.0667,0.0,0,0.1429,0.5714,0,0.125,0.5
tmqm_536,Hf,8,5d,0,0.1667,0.6429,0,0.0667,0.0,0,0.1429,0.5714,0,0.125,0.5
tmqm_1799,Mo,5,4d,0,0.5,0.9412,0,0.0769,0.2941,0,0.5,0.9412,0,0.5,0.9412
tmqm_5587,Fe,9,3d,0,0.3333,0.8667,0,0.0714,0.1333,0,0.1667,0.6667,0,0.3333,0.8667
tmqm_838,Hf,8,5d,0,0.0769,0.2,0,0.0833,0.2667,0,0.0769,0.2,0,0.0833,0.2667
tmqm_8129,Ir,5,5d,0,0.0769,0.1429,0,0.0714,0.0714,0,0.0833,0.2143,0,0.0909,0.2857
tmqm_4226,Re,5,5d,0,0.3333,0.8571,0,0.0833,0.2143,0,0.125,0.5,0,0.25,0.7857
tmqm_6640,Os,9,5d,0,0.1429,0.5714,0,0.0769,0.1429,0,0.125,0.5,0,0.1429,0.5714
tmqm_987,Zr,6,4d,0,0.0909,0.2857,0,0.0909,0.2857,0,0.0769,0.1429,0,0.1,0.3571
tmqm_638,Ti,12,3d,0,0.1429,0.6,0,0.0769,0.2,0,0.1429,0.6,0,0.1429,0.6
tmqm_5840,Ru,12,4d,0,0.25,0.7692,0,0.0909,0.2308,0,0.1111,0.3846,0,0.2,0.6923
tmqm_1363,Ta,8,5d,0,0.1111,0.4286,0,0.0833,0.2143,0,0.1429,0.5714,0,0.125,0.5
tmqm_4154,Re,6,5d,0,0.2,0.7333,0,0.0833,0.2667,0,0.1667,0.6667,0,0.1429,0.6
tmqm_8828,Rh,4,4d,0,0.0833,0.2667,0,0.0714,0.1333,0,0.0769,0.2,0,0.0833,0.2667
tmqm_4178,Mn,7,3d,0,0.125,0.5882,0,0.0769,0.2941,0,0.125,0.5882,0,0.125,0.5882
tmqm_5861,Fe,6,3d,0,0.2,0.7143,0,0.0909,0.2857,0,0.1667,0.6429,0,0.1429,0.5714
tmqm_3427,Re,7,5d,0,0.1667,0.6429,0,0.1,0.3571,0,0.1429,0.5714,0,0.125,0.5
tmqm_3347,Tc,8,4d,0,0.1111,0.5294,0,0.0667,0.1765,0,0.125,0.5882,0,0.125,0.5882
tmqm_6590,Os,6,5d,0,0.25,0.8,0,0.0625,0.0,0,0.25,0.8,0,0.1667,0.6667
tmqm_1002,Hf,8,5d,0,0.125,0.5,0,0.0667,0.0,0,0.0833,0.2143,0,0.1111,0.4286
